Date,Amount,Description,Category
2024-01-01,5000.0,Groceries,Food
2024-01-05,250.0,Coffee,Food
2024-01-10,300.0,Movie tickets,Entertainment
2024-01-15,300.0,Gasoline,Travel
2024-01-20,150.0,Stationery,Shopping
2024-01-25,400.0,Lunch with friends,Food
2024-02-01,1200.0,Netflix subscription,Entertainment
2024-02-05,450.0,Train tickets,Travel
2024-02-10,100.0,Snacks,Food
2024-02-15,1550.0,Concert tickets,Entertainment
2024-02-20,1600.0,Dinner out,Food
2024-03-01,1200.0,Transportation,Travel
2024-03-05,7000.0,Shopping,Shopping
2024-03-10,1750.0,Books,Shopping
2024-03-15,800.0,Phone bill,Utilities
2024-03-20,900.0,Internet bill,Utilities
2024-03-25,1500.0,Clothing,Shopping
2024-04-01,1000.0,Electricity bill,Utilities
2024-04-03,450.0,Movie tickets,Entertainment
2024-04-05,6500.0,Car maintenance,Travel
2024-04-07,5000.0,Grocery Shopping,Food
